label	k	p_escape	guides
p_disrupt=0.8	3	5.50188188275235e-08	UL19_36407+;UL19_37448-;UL19_37908+
p_disrupt=0.8	4	2.0925781359170094e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
p_disrupt=0.8	5	7.958882702744148e-13	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
p_disrupt=0.8	6	3.0270704251758525e-15	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
p_disrupt=0.9	1	0.00427880942025778	UL19_36407+
p_disrupt=0.9	2	1.830821005488675e-05	UL19_36407+;UL19_37448-
p_disrupt=0.9	3	7.833734165090749e-08	UL19_36407+;UL19_37448-;UL19_37908+
p_disrupt=0.9	4	3.35190555413855e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
p_disrupt=0.9	5	1.4342165060862402e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
p_disrupt=0.9	6	6.136739096931004e-15	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
p_disrupt=1	1	0.00475423268917531	UL19_36407+
p_disrupt=1	2	2.260272846282309e-05	UL19_36407+;UL19_37448-
p_disrupt=1	3	1.074586305225068e-07	UL19_36407+;UL19_37448-;UL19_37908+
p_disrupt=1	4	5.108833339641135e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
p_disrupt=1	5	2.4288582466870552e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
p_disrupt=1	6	1.154735727377263e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
